latent_dim,mse,silhouette,ari
8,0.6517352604751038,0.7147917151451111,0.8625479401650132
12,0.6491412012187447,0.5883156061172485,0.7820573144384224
16,0.6460861617160123,0.6069298982620239,0.8938583772550225
20,0.6301256086786984,0.6771643757820129,0.8938583772550225
24,0.6397621368242664,0.6345641613006592,0.9272733325636265
32,0.6500665657031611,0.6070026159286499,0.962691583759075
40,0.6414615762697458,0.6516669392585754,1.0
