latent_dim,silhouette,ari,nmi,mse
8,0.665998101234436,0.8334303150824038,0.8861147590216975,0.6585717827469709
12,0.6587739586830139,0.8334303150824038,0.8861147590216975,0.6400411140458326
16,0.6661577820777893,0.8938583772550225,0.9169782849670559,0.6324259194634523
20,0.6304308772087097,1.0,1.0,0.6272974210931118
24,0.5910143852233887,0.9272733325636265,0.9368526694818032,0.6491119338839835
32,0.5938825011253357,0.9272733325636265,0.9368526694818032,0.6324294109408594
40,0.6151111125946045,1.0,1.0,0.6305264222347002
48,0.6529546976089478,1.0,1.0,0.6221161109929113
